iter	Passed	Remaining
0	163	163454
1	165	82401
2	167	55626
3	169	42102
4	170	33890
5	171	28366
6	172	24425
7	172	21450
8	173	19149
9	175	17336
10	175	15821
11	176	14561
12	177	13485
13	178	12562
14	180	11832
15	181	11156
16	182	10562
17	183	10015
18	184	9549
19	186	9129
20	187	8731
21	188	8373
22	188	8028
23	189	7716
24	190	7428
25	191	7162
26	192	6939
27	193	6730
28	195	6537
29	196	6353
30	198	6192
31	199	6024
32	200	5880
33	201	5727
34	202	5578
35	203	5437
36	203	5304
37	204	5176
38	205	5054
39	205	4939
40	206	4828
41	207	4733
42	208	4635
43	209	4545
44	209	4454
45	210	4365
46	210	4277
47	211	4193
48	211	4113
49	212	4035
50	212	3961
51	213	3890
52	213	3821
53	214	3755
54	214	3691
55	215	3629
56	215	3569
57	216	3511
58	216	3456
59	217	3402
60	217	3349
61	218	3299
62	218	3250
63	219	3203
64	219	3157
65	220	3116
66	220	3075
67	221	3038
68	222	3000
69	223	2964
70	224	2931
71	224	2894
72	225	2858
73	225	2822
74	226	2787
75	226	2753
76	226	2720
77	227	2687
78	227	2656
79	228	2626
80	228	2596
81	229	2567
82	229	2536
83	230	2508
84	230	2482
85	231	2455
86	231	2429
87	232	2404
88	232	2379
89	232	2355
90	233	2331
91	234	2310
92	234	2289
93	235	2268
94	235	2247
95	236	2228
96	237	2210
97	238	2195
98	239	2179
99	240	2162
100	240	2143
101	241	2124
102	241	2105
103	242	2086
104	242	2068
105	243	2050
106	243	2033
107	244	2016
108	244	2000
109	245	1983
110	245	1967
111	246	1951
112	246	1935
113	247	1920
114	247	1906
115	248	1892
116	248	1878
117	249	1865
118	250	1852
119	250	1838
120	251	1824
121	251	1812
122	252	1802
123	253	1791
124	254	1779
125	254	1767
126	255	1753
127	255	1741
128	256	1729
129	256	1717
130	257	1704
131	257	1693
132	257	1681
133	258	1670
134	258	1659
135	259	1648
136	259	1637
137	260	1626
138	260	1616
139	261	1605
140	262	1596
141	262	1585
142	263	1579
143	264	1570
144	264	1561
145	265	1552
146	265	1543
147	266	1535
148	267	1529
149	268	1521
150	269	1513
151	269	1505
152	270	1497
153	271	1489
154	271	1481
155	272	1473
156	272	1465
157	273	1456
158	273	1448
159	274	1439
160	274	1430
161	275	1422
162	275	1414
163	276	1407
164	276	1399
165	277	1392
166	277	1385
167	278	1377
168	278	1370
169	279	1362
170	279	1355
171	280	1348
172	280	1341
173	281	1334
174	281	1328
175	282	1322
176	283	1317
177	284	1313
178	285	1308
179	286	1302
180	286	1296
181	287	1294
182	288	1287
183	288	1281
184	289	1275
185	289	1268
186	290	1262
187	290	1256
188	291	1250
189	291	1243
190	292	1238
191	292	1232
192	293	1226
193	293	1220
194	294	1214
195	294	1208
196	295	1202
197	295	1197
198	296	1191
199	296	1186
200	297	1182
201	298	1177
202	298	1173
203	299	1168
204	300	1163
205	300	1158
206	301	1153
207	301	1148
208	301	1142
209	302	1137
210	302	1132
211	303	1127
212	303	1122
213	304	1117
214	304	1112
215	305	1108
216	305	1103
217	306	1098
218	306	1093
219	307	1089
220	307	1084
221	308	1079
222	308	1075
223	309	1070
224	309	1066
225	310	1062
226	310	1057
227	311	1053
228	311	1049
229	312	1045
230	313	1042
231	313	1038
232	314	1035
233	315	1031
234	315	1027
235	316	1023
236	316	1019
237	316	1014
238	317	1010
239	318	1007
240	318	1003
241	319	999
242	319	995
243	319	991
244	320	987
245	320	983
246	321	979
247	321	975
248	322	972
249	322	968
250	323	964
251	323	960
252	324	956
253	324	953
254	325	949
255	325	946
256	326	942
257	326	939
258	327	936
259	328	933
260	328	931
261	329	928
262	330	925
263	330	922
264	331	919
265	332	916
266	332	914
267	333	911
268	334	907
269	334	905
270	335	902
271	336	899
272	336	896
273	337	894
274	338	891
275	338	888
276	340	889
277	341	886
278	342	884
279	342	881
280	343	879
281	344	877
282	345	875
283	346	874
284	347	872
285	348	869
286	349	867
287	350	865
288	350	863
289	351	860
290	352	857
291	352	855
292	353	852
293	353	849
294	354	848
295	355	845
296	355	842
297	356	839
298	356	836
299	357	833
300	358	831
301	358	829
302	359	827
303	360	824
304	360	821
305	361	819
306	361	816
307	362	813
308	362	810
309	363	808
310	363	805
311	364	802
312	364	799
313	364	797
314	365	794
315	365	792
316	366	789
317	366	786
318	367	784
319	367	781
320	368	778
321	368	776
322	369	773
323	369	771
324	370	768
325	370	766
326	371	763
327	371	761
328	372	758
329	372	756
330	373	755
331	375	754
332	375	752
333	376	751
334	377	749
335	378	747
336	378	745
337	379	743
338	380	741
339	380	739
340	381	737
341	382	735
342	382	733
343	383	731
344	384	729
345	384	727
346	385	725
347	385	723
348	386	720
349	387	719
350	388	717
351	389	716
352	390	715
353	391	713
354	391	711
355	392	710
356	393	708
357	393	706
358	394	704
359	395	702
360	396	700
361	396	699
362	397	697
363	398	695
364	398	693
365	399	691
366	400	689
367	400	688
368	401	686
369	402	685
370	404	685
371	404	683
372	405	681
373	406	680
374	406	678
375	407	676
376	408	674
377	409	673
378	409	671
379	410	669
380	411	667
381	411	666
382	412	664
383	413	662
384	413	661
385	414	659
386	415	657
387	415	655
388	416	654
389	417	652
390	418	651
391	419	650
392	420	648
393	420	647
394	421	645
395	422	644
396	423	642
397	423	640
398	424	639
399	425	637
400	425	635
401	426	633
402	426	631
403	427	630
404	427	628
405	428	626
406	428	624
407	429	622
408	429	620
409	430	619
410	431	617
411	431	616
412	432	614
413	433	613
414	433	611
415	434	610
416	435	608
417	435	606
